Method,Fold,R2,RMSE,MAE
RFE,1,0.40361295395511554,0.4240226127792849,0.26535878277949293
RFE,2,0.08563278778838945,0.7793462324747201,0.6078010363870797
RFE,3,-1.1196665278575648,0.7731829861482987,0.49923776704670203
RFE,4,0.6495431063305948,0.29798618055494186,0.25803228064816935
RFE,5,0.6705660432819148,0.46435831345000367,0.3171343943614673
RFE,6,0.8596437815013633,0.2972130899924261,0.23420982163858856
RFE,7,-1.3261879480361527,0.8628661494342393,0.5914931242028952
RFE,8,0.769799095085313,0.20201960079216202,0.13900042037656352
RFE,9,0.5746782019812942,0.5158469016201792,0.36672346188046034
RFE,10,0.3960970161951478,0.3186023609330488,0.22177428757667655
SelectKBest,1,0.3712603024601355,0.4353718626010537,0.28580657915641783
SelectKBest,2,-0.08873514367026414,0.8504156404887788,0.6300017482844912
SelectKBest,3,0.2573827783301783,0.4576474282430553,0.33723505315646285
SelectKBest,4,0.31496797660962805,0.416614380913087,0.3158940182566541
SelectKBest,5,0.8002319585418163,0.3616030207587767,0.29900316397735277
SelectKBest,6,0.907193206317717,0.24168070985850879,0.18128778740000767
SelectKBest,7,-0.028006032032319217,0.5736128378989749,0.45364978067667383
SelectKBest,8,0.4162486277956764,0.32170214197013547,0.2142470706583346
SelectKBest,9,0.777653283363593,0.3729729762024568,0.2750306224213488
SelectKBest,10,0.34679317007759247,0.33135288829858556,0.2312543529796533
Variance Threshold,1,0.42143126721881385,0.4176402977909941,0.264446022220865
Variance Threshold,2,0.0878284958357779,0.7784099317681675,0.614348547563793
Variance Threshold,3,0.360112285024738,0.42481554879239747,0.37000872464929946
Variance Threshold,4,0.6400779897391563,0.30198336694939065,0.25663439048223535
Variance Threshold,5,0.6551372615485307,0.4751078216027754,0.31886005966249964
Variance Threshold,6,0.8600004333752161,0.2968352334532046,0.23380146865930618
Variance Threshold,7,-0.15632275237196747,0.6083598815809818,0.4838816204196618
Variance Threshold,8,0.7713322064064924,0.2013457634457985,0.13914099785672285
Variance Threshold,9,0.8071720469445582,0.34733376284973283,0.26244931558399065
Variance Threshold,10,0.44624149690254855,0.30508833726467327,0.229474575074617
Correlation Filter,1,0.4214312672188135,0.4176402977909942,0.2644460222208653
Correlation Filter,2,0.08782849583577712,0.7784099317681679,0.6143485475637931
Correlation Filter,3,-0.22581474374302202,0.5879778125850947,0.4391864478159627
Correlation Filter,4,0.6348320030625378,0.30417616121683794,0.25917353790465275
Correlation Filter,5,0.6551372615485302,0.47510782160277576,0.3188600596624998
Correlation Filter,6,0.860000433375216,0.2968352334532047,0.23380146865930632
Correlation Filter,7,0.01127616361948336,0.5625466377255993,0.4460568554035743
Correlation Filter,8,0.7713322064064915,0.20134576344579888,0.139140997856723
Correlation Filter,9,0.7518739634870121,0.39400177188827784,0.30882898002759246
Correlation Filter,10,0.4317177243076432,0.30906331426693295,0.22791011863376928
